epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3152,0.94994,8.42234,0.93002,0,0,0,0,0.26387,9.3271,0.48092,6.921e-05,6.921e-05,6.921e-05
2,25.2312,0.65797,8.7644,0.77781,0.00415,0.5,0.398,0.36065,0.3272,9.49385,0.46008,0.000141288,0.000141288,0.000141288
3,37.0618,0.79999,12.8185,0.68205,0.00315,0.5,0.398,0.28268,0.44452,9.50279,0.48184,0.000208291,0.000208291,0.000208291
4,49.0702,1.02811,6.34141,0.90532,0.00187,0.5,0.4975,0.41025,0.42037,9.31009,0.48719,0.000270219,0.000270219,0.000270219
5,60.8824,0.54397,15.8473,0.72772,0.00154,0.5,0.398,0.3582,0.36709,9.35878,0.50348,0.000327071,0.000327071,0.000327071
6,72.7571,0.49615,4.63924,0.74648,0.00163,0.5,0.4725,0.42933,0.38576,9.11107,0.52998,0.000378848,0.000378848,0.000378848
7,84.8655,0.49249,13.9698,0.6933,0.00187,0.5,0.4725,0.42525,0.45099,9.09299,0.56487,0.000425549,0.000425549,0.000425549
8,97.103,0.61179,5.16359,0.90704,0.00257,0.5,0.4975,0.398,0.49383,9.00952,0.57842,0.000467175,0.000467175,0.000467175
9,109.246,0.67426,5.75954,0.8388,0.00309,0.5,0.4975,0.3855,0.51444,8.72254,0.59248,0.000503726,0.000503726,0.000503726
10,121.554,0.43595,10.5009,0.71438,0.90815,0.5,0.4975,0.4165,0.39142,8.30755,0.56994,0.000535201,0.000535201,0.000535201
11,133.874,0.49959,8.73239,0.70782,0.93793,0.5,0.4975,0.44775,0.38073,8.25289,0.58101,0.00051523,0.00051523,0.00051523
12,146.413,0.49372,6.013,0.7633,0.95586,0.5,0.4975,0.44775,0.40804,8.22743,0.59175,0.000489853,0.000489853,0.000489853
13,159.023,0.51791,6.36183,0.88949,0.92012,0.5,0.49914,0.46458,0.42791,8.34838,0.61082,0.000464476,0.000464476,0.000464476
14,171.78,0.57715,6.13583,0.8518,0.92788,0.5,0.50028,0.46028,0.49156,7.973,0.65344,0.000439099,0.000439099,0.000439099
15,184.453,0.50765,4.45187,0.7167,0.93408,0.5,0.50056,0.46031,0.42026,7.56922,0.60708,0.000413722,0.000413722,0.000413722
16,197.167,0.42304,4.04644,0.72763,0.89818,0.5,0.50575,0.48583,0.32634,7.42699,0.54928,0.000388345,0.000388345,0.000388345
17,209.924,0.53435,6.10769,0.73203,0.89747,0.5,0.49873,0.46662,0.42575,7.26326,0.61442,0.000362968,0.000362968,0.000362968
18,222.795,0.44282,10.1237,0.74182,0.89894,0.5,0.49986,0.45458,0.38257,7.19691,0.53439,0.000337591,0.000337591,0.000337591
19,235.432,0.41969,9.24325,0.66385,0.89345,0.5,0.47589,0.42627,0.41146,7.33661,0.54082,0.000312214,0.000312214,0.000312214
20,248.169,0.42592,9.97791,0.6429,0.8916,0.5,0.47656,0.43736,0.36795,7.42478,0.5325,0.000286837,0.000286837,0.000286837
21,261.185,0.64342,12.5551,0.75069,0.89514,0.5,0.50255,0.49862,0.33556,7.49848,0.52652,0.00026146,0.00026146,0.00026146
22,274.183,0.41612,11.1455,0.65682,0.91363,0.5,0.50548,0.45647,0.35945,7.28436,0.52618,0.000236083,0.000236083,0.000236083
23,287.067,0.41707,12.6093,0.6889,0.8999,0.5,0.50369,0.45048,0.36366,7.10491,0.528,0.000210706,0.000210706,0.000210706
24,299.677,0.3353,15.2063,0.59464,0.89872,0.5,0.50575,0.45032,0.35457,6.93692,0.52528,0.000185329,0.000185329,0.000185329
25,312.382,0.47836,5.38124,0.7329,0.89809,0.5,0.50702,0.45679,0.36228,6.84533,0.52943,0.000159952,0.000159952,0.000159952
26,324.923,0.36839,11.0024,0.64918,0.89832,0.5,0.50826,0.46768,0.35044,6.78524,0.52117,0.000134575,0.000134575,0.000134575
27,337.832,0.41641,5.74798,0.7339,0.89939,0.5,0.50634,0.46735,0.35695,6.80249,0.52545,0.000109198,0.000109198,0.000109198
28,350.72,0.6733,18.5381,0.65495,0.9206,0.5,0.50326,0.46739,0.36746,6.86358,0.5325,8.3821e-05,8.3821e-05,8.3821e-05
29,363.536,0.3251,14.5565,0.61385,0.93257,0.5,0.50255,0.46728,0.37102,6.91811,0.53639,5.8444e-05,5.8444e-05,5.8444e-05
30,376.185,0.36365,7.36099,0.80322,0.93645,0.5,0.50255,0.46779,0.37603,6.95796,0.53926,3.3067e-05,3.3067e-05,3.3067e-05
